"","Name","Age","Nationality","Overall","Potential","Club","Value","Wage","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Position","Height","Weight","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes"
"59","S. Man¨¦",26,"Senegal",86,87,"Liverpool",5.2e+07,195000,1,3,4,4,1,175.26,68.9472,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,10,10,15,7,14
"60","V. van Dijk",26,"Netherlands",86,88,"Liverpool",44500000,165000,1,3,3,2,0,193.04,92.0808,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84,13,10,13,11,11
"61","R. Sterling",23,"England",86,89,"Manchester City",56500000,195000,1,3,3,4,1,170.18,68.9472,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,15,12,12,15,9
"62","Roberto Firmino",26,"Brazil",86,87,"Liverpool",5.3e+07,195000,1,3,4,4,1,180.34,76.2048,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,8,11,9,6,10
"63","R. Varane",25,"France",86,91,"Real Madrid",5e+07,210000,1,3,3,2,0,190.5,81.1944,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,11,11,9,5,14
"64","M. Verratti",25,"Italy",86,89,"Paris Saint-Germain",5.5e+07,135000,1,3,4,4,1,165.1,59.8752,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,12,12,15,15,10
"65","Alex Sandro",27,"Brazil",86,86,"Juventus",36500000,160000,0,3,3,3,0,180.34,79.8336,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5
"66","Douglas Costa",27,"Brazil",86,86,"Juventus",46500000,175000,0,3,3,5,1,172.72,69.8544,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,13,15,9,12,5
"67","T. M¨¹ller",28,"Germany",86,86,"FC Bayern M¨¹nchen",4.5e+07,135000,1,4,4,3,1,185.42,74.844,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,6,7,11,14,14
"68","Thiago",27,"Spain",86,86,"FC Bayern M¨¹nchen",45500000,130000,1,3,3,5,1,175.26,69.8544,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65,6,11,7,9,13
"69","M. Reus",29,"Germany",86,86,"Borussia Dortmund",43500000,1e+05,1,4,4,4,1,180.34,71.2152,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45,12,12,13,13,11
"70","Azpilicueta",28,"Spain",86,86,"Chelsea",3.5e+07,175000,1,3,3,2,0,177.8,76.2048,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,13,9,10,6,5
"71","L. Bonucci",31,"Italy",86,86,"Juventus",3e+07,160000,1,3,3,2,0,190.5,84.8232,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4
"72","T. Alderweireld",29,"Belgium",86,87,"Tottenham Hotspur",3.9e+07,150000,1,3,3,2,0,185.42,81.1944,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,16,6,14,16,14
"73","M. Pjani<U+0107>",28,"Bosnia Herzegovina",86,86,"Juventus",4.4e+07,180000,1,3,4,3,0,177.8,72.1224,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,7,7,13,7,8
"74","M. Benatia",31,"Morocco",86,86,"Juventus",3e+07,160000,1,3,3,2,0,187.96,93.8952,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,7,4,8,7,11
"75","M. <U+00D6>zil",29,"Germany",86,86,"Arsenal",43500000,190000,0,4,2,4,1,180.34,76.2048,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,6,14,10,6,14
"76","Fernandinho",33,"Brazil",86,86,"Manchester City",1.8e+07,185000,1,3,4,3,0,177.8,67.1328,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80,12,11,5,13,7
"77","Iniesta",34,"Spain",86,86,"Vissel Kobe",21500000,21000,1,4,4,4,1,170.18,68.04,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,6,13,6,13,7
"78","M. <U+0160>kriniar",23,"Slovakia",85,92,"Inter",46500000,82000,1,1,4,2,0,187.96,79.8336,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82,10,13,12,8,12
"79","S. Milinkovi<U+0107>-Savi<U+0107>",23,"Serbia",85,90,"Lazio",50500000,73000,1,2,4,4,1,190.5,76.2048,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7
"80","Marco Asensio",22,"Spain",85,92,"Real Madrid",5.4e+07,215000,0,3,3,4,1,182.88,76.2048,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,13,9,6,12,10
"81","N. Fekir",24,"France",85,89,"Olympique Lyonnais",5e+07,92000,0,3,3,4,1,172.72,74.844,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15
"82","Alisson",25,"Brazil",85,90,"Liverpool",36500000,115000,1,3,3,1,0,190.5,91.1736,17,13,19,45,20,27,19,18,44,30,54,45,40,84,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16,83,81,85,84,88
"83","J. Kimmich",23,"Germany",85,88,"FC Bayern M¨¹nchen",40500000,92000,1,3,4,3,1,175.26,69.8544,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79,8,15,7,15,15
"84","Sa¨²l",23,"Spain",85,90,"Atl¨¦tico Madrid",50500000,77000,0,3,4,3,1,182.88,77.112,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76,7,13,12,10,9
"85","R. Mahrez",27,"Algeria",85,85,"Manchester City",40500000,205000,0,3,4,5,1,177.8,67.1328,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,15,9,13,11,6
"86","D. Alaba",26,"Austria",85,87,"FC Bayern M¨¹nchen",3.8e+07,110000,0,4,4,3,0,180.34,76.2048,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,5,7,14,15,9
"87","Koke",26,"Spain",85,86,"Atl¨¦tico Madrid",4.5e+07,88000,1,3,4,3,1,175.26,73.9368,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,14,12,5,10,13
"88","A. Lacazette",27,"France",85,86,"Arsenal",4.5e+07,180000,1,3,4,4,1,175.26,73.0296,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,11,6,9,5,6
"89","K. Manolas",27,"Greece",85,87,"Roma",37500000,96000,1,3,2,2,0,187.96,83.0088,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12
"90","N. Otamendi",30,"Argentina",85,85,"Manchester City",28500000,170000,1,3,3,2,0,182.88,81.1944,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84,12,5,8,11,12
"91","Parejo",29,"Spain",85,85,"Valencia CF",3.7e+07,66000,1,2,4,3,1,182.88,73.9368,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60,5,9,12,14,8
"92","Paulinho",29,"Brazil",85,85,"Guangzhou Evergrande Taobao FC",3.7e+07,235000,1,3,3,3,0,182.88,71.2152,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73,16,16,11,6,8
"93","W. Szcz<U+0119>sny",28,"Poland",85,87,"Juventus",3.2e+07,125000,1,3,3,1,0,195.58,89.8128,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,15,71,45,65,14,40,15,14,48,18,65,20,13,12,85,81,71,85,87
"94","A. S¨¢nchez",29,"Chile",85,85,"Manchester United",37500000,215000,1,4,3,4,1,170.18,73.9368,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35,10,10,15,12,13
"95","Y. Brahimi",28,"Algeria",85,85,"FC Porto",3.9e+07,28000,1,3,3,4,1,175.26,66.2256,79,76,46,79,73,93,84,78,72,86,87,75,92,84,87,69,72,85,49,76,46,38,83,79,75,90,51,36,25,13,16,12,7,7
"96","J. Boateng",29,"Germany",85,85,"FC Bayern M¨¹nchen",3e+07,115000,1,4,4,2,0,193.04,89.8128,69,34,85,75,52,64,53,31,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,75,46,84,84,87,87,7,12,15,6,5
"97","A. Vidal",31,"Chile",85,85,"FC Barcelona",2.6e+07,205000,1,4,4,3,1,180.34,74.844,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86,4,2,4,2,4
"98","I. Peri<U+0161>i<U+0107>",29,"Croatia",85,85,"Inter",37500000,110000,1,3,5,4,1,185.42,79.8336,83,79,80,81,81,84,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,85,79,76,80,64,52,54,6,7,10,9,6
"99","E. D<U+017E>eko",32,"Bosnia Herzegovina",85,85,"Roma",30500000,115000,1,3,5,2,1,193.04,83.916,63,89,84,77,77,76,65,54,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,74,67,83,58,28,16,9,11,13,15,15
"100","S. Khedira",31,"Germany",85,85,"Juventus",3.3e+07,160000,1,3,4,2,1,187.96,89.8128,72,72,76,85,78,81,68,68,82,84,54,60,55,87,54,82,68,78,87,78,82,86,79,82,69,84,80,83,76,11,9,5,15,8
"101","Diego Costa",29,"Spain",85,85,"Atl¨¦tico Madrid",38500000,1e+05,1,4,4,2,1,187.96,86.184,65,87,82,65,81,77,62,59,52,83,74,76,58,85,53,83,64,76,92,74,93,40,87,74,75,83,58,39,34,11,13,12,8,11
"102","R. Nainggolan",30,"Belgium",85,85,"Inter",35500000,105000,1,3,3,3,1,175.26,77.112,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90,11,11,14,8,11
"103","Naldo",35,"Brazil",85,85,"FC Schalke 04",9e+06,38000,1,3,4,2,0,198.12,91.1736,45,57,94,76,60,60,52,76,70,68,60,65,46,85,36,92,45,61,83,82,72,83,53,59,60,84,86,88,85,14,10,14,8,14
"104","B. Matuidi",31,"France",85,85,"Juventus",2.6e+07,145000,0,3,2,2,1,180.34,74.844,75,64,68,83,72,78,65,52,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,76,56,82,85,84,86,8,11,5,10,14
"105","Miranda",33,"Brazil",85,85,"Inter",15500000,96000,1,3,3,2,0,185.42,78.0192,48,43,80,70,51,67,32,39,69,73,66,69,61,81,57,70,82,65,79,41,83,85,43,58,49,81,90,90,85,12,6,10,13,12
